price,date,coin
2296.506550236313,2025-05-11 00:00:00,ethereum
2232.934018332591,2025-05-12 00:00:00,ethereum
2246.366580471045,2025-05-13 00:00:00,ethereum
2392.7735499607093,2025-05-14 00:00:00,ethereum
2328.1093215927767,2025-05-15 00:00:00,ethereum
2271.48616419185,2025-05-16 00:00:00,ethereum
2279.4934476132044,2025-05-17 00:00:00,ethereum
2217.3789555303665,2025-05-18 00:00:00,ethereum
2204.2589098964113,2025-05-19 00:00:00,ethereum
2249.6929623085502,2025-05-20 00:00:00,ethereum
2236.3808544595768,2025-05-21 00:00:00,ethereum
2258.434795702423,2025-05-22 00:00:00,ethereum
2354.94919109233,2025-05-23 00:00:00,ethereum
2216.234200772813,2025-05-24 00:00:00,ethereum
2224.7032818175467,2025-05-25 00:00:00,ethereum
2239.291454077417,2025-05-26 00:00:00,ethereum
2249.198381060086,2025-05-27 00:00:00,ethereum
2347.836515510111,2025-05-28 00:00:00,ethereum
2380.7539647678955,2025-05-29 00:00:00,ethereum
2314.129125379309,2025-05-30 00:00:00,ethereum
2224.6694371596227,2025-05-31 00:00:00,ethereum
2231.6193809257793,2025-06-01 00:00:00,ethereum
2235.334676021271,2025-06-02 00:00:00,ethereum
2278.8199604201263,2025-06-03 00:00:00,ethereum
2280.12466966795,2025-06-04 00:00:00,ethereum
2285.8357658415707,2025-06-05 00:00:00,ethereum
2114.7043310802437,2025-06-06 00:00:00,ethereum
2176.575911295205,2025-06-07 00:00:00,ethereum
2215.9496556546987,2025-06-08 00:00:00,ethereum
2199.4334796577405,2025-06-09 00:00:00,ethereum
2350.204826968331,2025-06-10 00:00:00,ethereum
2455.538950603526,2025-06-11 00:00:00,ethereum
2412.688086597481,2025-06-12 00:00:00,ethereum
2287.293653020987,2025-06-13 00:00:00,ethereum
2231.30662090133,2025-06-14 00:00:00,ethereum
2194.0942907425697,2025-06-15 00:00:00,ethereum
2206.021542155848,2025-06-16 00:00:00,ethereum
2217.010272698391,2025-06-17 00:00:00,ethereum
2190.5986859624354,2025-06-18 00:00:00,ethereum
2197.326950489502,2025-06-19 00:00:00,ethereum
2191.1683934208186,2025-06-20 00:00:00,ethereum
2087.4628250891615,2025-06-21 00:00:00,ethereum
1970.2225978713648,2025-06-22 00:00:00,ethereum
1936.5131703659963,2025-06-23 00:00:00,ethereum
2089.7796217040473,2025-06-24 00:00:00,ethereum
2106.812854132505,2025-06-25 00:00:00,ethereum
2068.8608956510448,2025-06-26 00:00:00,ethereum
2065.373891352302,2025-06-27 00:00:00,ethereum
2067.329443149153,2025-06-28 00:00:00,ethereum
2079.3618771189017,2025-06-29 00:00:00,ethereum
2133.7140521930282,2025-06-30 00:00:00,ethereum
2111.3070121780315,2025-07-01 00:00:00,ethereum
2037.4482508256797,2025-07-02 00:00:00,ethereum
2181.383391767828,2025-07-03 00:00:00,ethereum
2200.9570933970977,2025-07-04 00:00:00,ethereum
2130.32158367931,2025-07-05 00:00:00,ethereum
2137.2347833862755,2025-07-06 00:00:00,ethereum
2182.908252749407,2025-07-07 00:00:00,ethereum
2167.2454324790297,2025-07-08 00:00:00,ethereum
2231.358933790579,2025-07-09 00:00:00,ethereum
2363.765478726128,2025-07-10 00:00:00,ethereum
2519.075775988092,2025-07-11 00:00:00,ethereum
2531.2974112822803,2025-07-12 00:00:00,ethereum
2517.7036535384514,2025-07-13 00:00:00,ethereum
2546.1318742564818,2025-07-14 00:00:00,ethereum
2582.2091268233485,2025-07-15 00:00:00,ethereum
2699.114617890189,2025-07-16 00:00:00,ethereum
2894.530883207799,2025-07-17 00:00:00,ethereum
2997.6190714113677,2025-07-18 00:00:00,ethereum
3050.5153220870907,2025-07-19 00:00:00,ethereum
3090.9341950045828,2025-07-20 00:00:00,ethereum
3231.370942430585,2025-07-21 00:00:00,ethereum
3219.617232138739,2025-07-22 00:00:00,ethereum
3192.164886378557,2025-07-23 00:00:00,ethereum
3082.67049936185,2025-07-24 00:00:00,ethereum
3154.4535462226304,2025-07-25 00:00:00,ethereum
3169.4982335682967,2025-07-26 00:00:00,ethereum
3185.9954941739575,2025-07-27 00:00:00,ethereum
3286.465223138248,2025-07-28 00:00:00,ethereum
3265.550760233058,2025-07-29 00:00:00,ethereum
3279.4637908392006,2025-07-30 00:00:00,ethereum
3331.1849326190286,2025-07-31 00:00:00,ethereum
3235.5152521513114,2025-08-01 00:00:00,ethereum
3004.416007771492,2025-08-02 00:00:00,ethereum
2931.394698484005,2025-08-03 00:00:00,ethereum
3018.125803460509,2025-08-04 00:00:00,ethereum
3207.8421909956664,2025-08-05 00:00:00,ethereum
3096.6293015210504,2025-08-05 17:18:03,ethereum
