price,date,coin
2551.899720740982,2025-02-09 00:00:00,ethereum
2552.5593837812094,2025-02-10 00:00:00,ethereum
2582.2011267933,2025-02-11 00:00:00,ethereum
2511.247810152235,2025-02-12 00:00:00,ethereum
2633.4440114883437,2025-02-13 00:00:00,ethereum
2557.8359920957596,2025-02-14 00:00:00,ethereum
2595.790225788878,2025-02-15 00:00:00,ethereum
2566.6707828983804,2025-02-16 00:00:00,ethereum
2535.726894233288,2025-02-17 00:00:00,ethereum
2614.9493910770257,2025-02-18 00:00:00,ethereum
2555.1386952690655,2025-02-19 00:00:00,ethereum
2605.376318849374,2025-02-20 00:00:00,ethereum
2610.5205255269602,2025-02-21 00:00:00,ethereum
2540.348383470508,2025-02-22 00:00:00,ethereum
2643.0387396311103,2025-02-23 00:00:00,ethereum
2698.8556810023024,2025-02-24 00:00:00,ethereum
2392.6314537559733,2025-02-25 00:00:00,ethereum
2372.0443730639586,2025-02-26 00:00:00,ethereum
2217.238881802848,2025-02-27 00:00:00,ethereum
2217.4071422469297,2025-02-28 00:00:00,ethereum
2153.7310152051627,2025-03-01 00:00:00,ethereum
2132.16690388493,2025-03-02 00:00:00,ethereum
2417.251388111444,2025-03-03 00:00:00,ethereum
2049.0171610099073,2025-03-04 00:00:00,ethereum
2043.5458291311022,2025-03-05 00:00:00,ethereum
2076.279278245585,2025-03-06 00:00:00,ethereum
2041.3949578237446,2025-03-07 00:00:00,ethereum
1975.7643619174717,2025-03-08 00:00:00,ethereum
2031.019738478882,2025-03-09 00:00:00,ethereum
1857.5182083923294,2025-03-10 00:00:00,ethereum
1733.181009510515,2025-03-11 00:00:00,ethereum
1760.2157709750775,2025-03-12 00:00:00,ethereum
1755.34180323711,2025-03-13 00:00:00,ethereum
1716.2414078031125,2025-03-14 00:00:00,ethereum
1749.310503814827,2025-03-15 00:00:00,ethereum
1776.9309807216432,2025-03-16 00:00:00,ethereum
1734.6609914614412,2025-03-17 00:00:00,ethereum
1766.8097820891287,2025-03-18 00:00:00,ethereum
1766.659025242684,2025-03-19 00:00:00,ethereum
1888.8906252109912,2025-03-20 00:00:00,ethereum
1824.4114373119555,2025-03-21 00:00:00,ethereum
1806.188315021493,2025-03-22 00:00:00,ethereum
1820.3558614712244,2025-03-23 00:00:00,ethereum
1846.758293426457,2025-03-24 00:00:00,ethereum
1923.2801843496281,2025-03-25 00:00:00,ethereum
1917.6859048185731,2025-03-26 00:00:00,ethereum
1870.6729794313308,2025-03-27 00:00:00,ethereum
1854.6523001485466,2025-03-28 00:00:00,ethereum
1744.2117187275755,2025-03-29 00:00:00,ethereum
1682.0142636762862,2025-03-30 00:00:00,ethereum
1667.8505665109212,2025-03-31 00:00:00,ethereum
1686.3408581931362,2025-04-01 00:00:00,ethereum
1766.1416772226419,2025-04-02 00:00:00,ethereum
1647.1194591486064,2025-04-03 00:00:00,ethereum
1646.3783560384747,2025-04-04 00:00:00,ethereum
1655.5975807326454,2025-04-05 00:00:00,ethereum
1651.45060640169,2025-04-06 00:00:00,ethereum
1432.908968113813,2025-04-07 00:00:00,ethereum
1425.2725128877976,2025-04-08 00:00:00,ethereum
1339.5549059582606,2025-04-09 00:00:00,ethereum
1518.3383343907801,2025-04-10 00:00:00,ethereum
1353.7149404863812,2025-04-11 00:00:00,ethereum
1381.4518849432038,2025-04-12 00:00:00,ethereum
1449.0783064623106,2025-04-13 00:00:00,ethereum
1406.7847467812935,2025-04-14 00:00:00,ethereum
1430.3729820950166,2025-04-15 00:00:00,ethereum
1405.757764685518,2025-04-16 00:00:00,ethereum
1383.9112468402404,2025-04-17 00:00:00,ethereum
1392.38409522686,2025-04-18 00:00:00,ethereum
1397.374392377285,2025-04-19 00:00:00,ethereum
1420.1476052028654,2025-04-20 00:00:00,ethereum
1384.7407861357506,2025-04-21 00:00:00,ethereum
1370.2946999400226,2025-04-22 00:00:00,ethereum
1551.1090964644156,2025-04-23 00:00:00,ethereum
1583.0725479498644,2025-04-24 00:00:00,ethereum
1555.8073713720548,2025-04-25 00:00:00,ethereum
1568.4182446037646,2025-04-26 00:00:00,ethereum
1598.5282667698852,2025-04-27 00:00:00,ethereum
1580.7232240425367,2025-04-28 00:00:00,ethereum
1577.321012113493,2025-04-29 00:00:00,ethereum
1578.0936626252642,2025-04-30 00:00:00,ethereum
1584.1708612745263,2025-05-01 00:00:00,ethereum
1627.8163727173198,2025-05-02 00:00:00,ethereum
1629.2030609929986,2025-05-03 00:00:00,ethereum
1623.0755665326592,2025-05-04 00:00:00,ethereum
1596.8115769712226,2025-05-05 00:00:00,ethereum
1608.518121645756,2025-05-06 00:00:00,ethereum
1601.1869898591708,2025-05-07 00:00:00,ethereum
1601.1076512679613,2025-05-08 00:00:00,ethereum
1957.5875074497112,2025-05-09 00:00:00,ethereum
2081.1604679148813,2025-05-10 00:00:00,ethereum
